,url,qtr,quarter,code,company
4629,https://www.bseindia.com/stock-share-price/icici-lombard-general-insurance-company-ltd/icicigi/540716/qtrid/110.00/shareholding-pattern/Jun-2021/,110,Jun-21,540716,ICICIGI
4630,https://www.bseindia.com/stock-share-price/icici-lombard-general-insurance-company-ltd/icicigi/540716/qtrid/109.00/shareholding-pattern/Mar-2021/,109,Mar-21,540716,ICICIGI
4631,https://www.bseindia.com/stock-share-price/icici-lombard-general-insurance-company-ltd/icicigi/540716/qtrid/108.00/shareholding-pattern/Dec-2020/,108,Dec-20,540716,ICICIGI
4632,https://www.bseindia.com/stock-share-price/icici-lombard-general-insurance-company-ltd/icicigi/540716/qtrid/107.00/shareholding-pattern/Sep-2020/,107,Sep-20,540716,ICICIGI
4633,https://www.bseindia.com/stock-share-price/icici-lombard-general-insurance-company-ltd/icicigi/540716/qtrid/106.00/shareholding-pattern/Jun-2020/,106,Jun-20,540716,ICICIGI
4634,https://www.bseindia.com/stock-share-price/icici-lombard-general-insurance-company-ltd/icicigi/540716/qtrid/105.00/shareholding-pattern/Mar-2020/,105,Mar-20,540716,ICICIGI
4635,https://www.bseindia.com/stock-share-price/icici-lombard-general-insurance-company-ltd/icicigi/540716/qtrid/104.00/shareholding-pattern/Dec-2019/,104,Dec-19,540716,ICICIGI
4636,https://www.bseindia.com/stock-share-price/icici-lombard-general-insurance-company-ltd/icicigi/540716/qtrid/103.00/shareholding-pattern/Sep-2019/,103,Sep-19,540716,ICICIGI
4637,https://www.bseindia.com/stock-share-price/icici-lombard-general-insurance-company-ltd/icicigi/540716/qtrid/102.00/shareholding-pattern/Jun-2019/,102,Jun-19,540716,ICICIGI
4638,https://www.bseindia.com/stock-share-price/icici-lombard-general-insurance-company-ltd/icicigi/540716/qtrid/101.00/shareholding-pattern/Mar-2019/,101,Mar-19,540716,ICICIGI
4639,https://www.bseindia.com/stock-share-price/icici-lombard-general-insurance-company-ltd/icicigi/540716/qtrid/100.00/shareholding-pattern/Dec-2018/,100,Dec-18,540716,ICICIGI
4640,https://www.bseindia.com/stock-share-price/icici-lombard-general-insurance-company-ltd/icicigi/540716/qtrid/99.00/shareholding-pattern/Sep-2018/,99,Sep-18,540716,ICICIGI
4641,https://www.bseindia.com/stock-share-price/icici-lombard-general-insurance-company-ltd/icicigi/540716/qtrid/98.00/shareholding-pattern/Jun-2018/,98,Jun-18,540716,ICICIGI
4642,https://www.bseindia.com/stock-share-price/icici-lombard-general-insurance-company-ltd/icicigi/540716/qtrid/97.00/shareholding-pattern/Mar-2018/,97,Mar-18,540716,ICICIGI
4643,https://www.bseindia.com/stock-share-price/icici-lombard-general-insurance-company-ltd/icicigi/540716/qtrid/96.00/shareholding-pattern/Dec-2017/,96,Dec-17,540716,ICICIGI
4644,https://www.bseindia.com/stock-share-price/icici-lombard-general-insurance-company-ltd/icicigi/540716/qtrid/95.00/shareholding-pattern/Sep-2017/,95,Sep-17,540716,ICICIGI
4645,https://www.bseindia.com/stock-share-price/icici-lombard-general-insurance-company-ltd/icicigi/540716/qtrid/94.02/shareholding-pattern/Sep-2017/,94.02,Sep-17,540716,ICICIGI
4646,https://www.bseindia.com/stock-share-price/rossari-biotech-ltd/rossari/543213/qtrid/128.00/shareholding-pattern/Dec-2025/,128,Dec-25,543213,ROSSARI
